k,coverage,strat
1,10,Random
2,15,Random
3,25,Random
4,42,Random
5,135,Random
6,138,Random
7,142,Random
8,149,Random
9,150,Random
10,151,Random
11,166,Random
12,174,Random
13,180,Random
14,184,Random
15,187,Random
16,194,Random
17,196,Random
18,197,Random
19,200,Random
20,202,Random
21,203,Random
22,205,Random
23,207,Random
24,220,Random
25,230,Random
26,241,Random
27,266,Random
28,267,Random
29,268,Random
30,291,Random
31,393,Random
32,497,Random
33,534,Random
34,535,Random
35,569,Random
36,571,Random
37,638,Random
38,642,Random
39,645,Random
40,654,Random
41,676,Random
42,677,Random
43,760,Random
44,773,Random
45,777,Random
46,779,Random
47,793,Random
48,795,Random
49,798,Random
50,801,Random
51,824,Random
52,826,Random
53,828,Random
54,830,Random
55,832,Random
56,862,Random
57,862,Random
58,863,Random
59,864,Random
60,866,Random
61,868,Random
62,870,Random
63,872,Random
64,876,Random
65,879,Random
66,883,Random
67,885,Random
68,887,Random
69,904,Random
70,907,Random
71,948,Random
72,949,Random
73,952,Random
74,954,Random
75,956,Random
76,958,Random
77,959,Random
78,960,Random
79,961,Random
80,963,Random
81,975,Random
82,977,Random
83,979,Random
84,980,Random
85,996,Random
86,997,Random
87,999,Random
88,1018,Random
89,1023,Random
90,1029,Random
91,1031,Random
92,1032,Random
93,1046,Random
94,1047,Random
95,1050,Random
96,1054,Random
97,1064,Random
98,1066,Random
99,1082,Random
100,1083,Random
101,1085,Random
102,1107,Random
103,1109,Random
104,1517,Random
105,1584,Random
106,1589,Random
107,1590,Random
108,1958,Random
109,1995,Random
110,1997,Random
111,2000,Random
112,2001,Random
113,2003,Random
114,2005,Random
115,2209,Random
116,2211,Random
117,2221,Random
118,2223,Random
119,2225,Random
120,2228,Random
121,2229,Random
122,2233,Random
123,2235,Random
124,2843,Random
125,2844,Random
126,2846,Random
127,2887,Random
128,2893,Random
129,2897,Random
130,2900,Random
131,2907,Random
132,3171,Random
133,3259,Random
134,3267,Random
135,3269,Random
136,3271,Random
1,4,Random
2,8,Random
3,75,Random
4,81,Random
5,86,Random
6,90,Random
7,92,Random
8,95,Random
9,97,Random
10,101,Random
11,106,Random
12,111,Random
13,113,Random
14,115,Random
15,118,Random
16,135,Random
17,139,Random
18,143,Random
19,177,Random
20,178,Random
21,188,Random
22,191,Random
23,559,Random
24,561,Random
25,663,Random
26,730,Random
27,752,Random
28,760,Random
29,762,Random
30,767,Random
31,768,Random
32,772,Random
33,776,Random
34,813,Random
35,815,Random
36,829,Random
37,840,Random
38,866,Random
39,868,Random
40,869,Random
41,1133,Random
42,1147,Random
43,1156,Random
44,1166,Random
45,1167,Random
46,1169,Random
47,1170,Random
48,1172,Random
49,1213,Random
50,1220,Random
51,1222,Random
52,1223,Random
53,1429,Random
54,1512,Random
55,1514,Random
56,1536,Random
57,1537,Random
58,1539,Random
59,1545,Random
60,1547,Random
61,1548,Random
62,1651,Random
63,1693,Random
64,1696,Random
65,1698,Random
66,1700,Random
67,1701,Random
68,1705,Random
69,1708,Random
70,1711,Random
71,1734,Random
72,1737,Random
73,1741,Random
74,1750,Random
75,1752,Random
76,1754,Random
77,1757,Random
78,1759,Random
79,1771,Random
80,1771,Random
81,1772,Random
82,1774,Random
83,1776,Random
