k,coverage,strat
1,3,Random
2,6,Random
3,10,Random
4,12,Random
5,16,Random
6,38,Random
7,302,Random
8,303,Random
9,345,Random
10,356,Random
11,358,Random
12,360,Random
13,362,Random
14,365,Random
15,383,Random
16,392,Random
17,415,Random
18,482,Random
19,484,Random
20,487,Random
21,496,Random
22,499,Random
23,504,Random
24,507,Random
25,509,Random
26,510,Random
27,518,Random
28,519,Random
29,535,Random
30,538,Random
31,540,Random
32,556,Random
33,557,Random
34,563,Random
35,565,Random
36,567,Random
37,569,Random
38,570,Random
39,571,Random
40,577,Random
41,579,Random
42,947,Random
43,963,Random
44,965,Random
45,1055,Random
46,1058,Random
47,1069,Random
48,1070,Random
49,1072,Random
50,1075,Random
51,1077,Random
52,1079,Random
53,1083,Random
54,1086,Random
55,1087,Random
56,1090,Random
57,1091,Random
58,1092,Random
59,1102,Random
60,1306,Random
61,1314,Random
62,1335,Random
63,1337,Random
64,1378,Random
65,1380,Random
66,1383,Random
67,1387,Random
68,1389,Random
69,1391,Random
70,1395,Random
71,1483,Random
72,1485,Random
73,1500,Random
74,1583,Random
75,1606,Random
76,2014,Random
77,2017,Random
78,2020,Random
79,2021,Random
80,2022,Random
81,2024,Random
82,2027,Random
83,2041,Random
84,2043,Random
85,2080,Random
86,2093,Random
87,2106,Random
88,2115,Random
89,2122,Random
90,2128,Random
91,2131,Random
92,2198,Random
93,2200,Random
94,2236,Random
95,2256,Random
96,2259,Random
97,2263,Random
98,2275,Random
99,2277,Random
100,2282,Random
101,2385,Random
102,2387,Random
103,2389,Random
104,2395,Random
105,2397,Random
106,2404,Random
107,2407,Random
108,2411,Random
109,2413,Random
110,2415,Random
111,2429,Random
112,2459,Random
113,2460,Random
114,2462,Random
115,2464,Random
116,2566,Random
117,2567,Random
118,2571,Random
119,2573,Random
120,2575,Random
121,2575,Random
122,2576,Random
123,2613,Random
124,2615,Random
125,2619,Random
126,2621,Random
127,3229,Random
128,3231,Random
129,3248,Random
130,3249,Random
131,3250,Random
132,3252,Random
133,3253,Random
134,3255,Random
135,3280,Random
136,3281,Random
1,68,Random
2,440,Random
3,446,Random
4,456,Random
5,460,Random
6,562,Random
7,581,Random
8,594,Random
9,597,Random
10,599,Random
11,601,Random
12,603,Random
13,617,Random
14,623,Random
15,625,Random
16,627,Random
17,628,Random
18,644,Random
19,653,Random
20,658,Random
21,664,Random
22,666,Random
23,676,Random
24,678,Random
25,695,Random
26,697,Random
27,739,Random
28,741,Random
29,746,Random
30,748,Random
31,770,Random
32,772,Random
33,784,Random
34,786,Random
35,794,Random
36,897,Random
37,900,Random
38,903,Random
39,914,Random
40,1118,Random
41,1185,Random
42,1191,Random
43,1193,Random
44,1195,Random
45,1199,Random
46,1221,Random
47,1222,Random
48,1830,Random
49,1834,Random
50,1856,Random
51,1890,Random
52,1891,Random
53,1930,Random
54,1932,Random
55,1933,Random
56,1947,Random
57,1962,Random
58,1963,Random
59,1965,Random
60,1969,Random
61,1970,Random
62,1972,Random
63,1974,Random
64,1976,Random
65,1978,Random
66,1981,Random
67,1998,Random
68,2000,Random
69,2000,Random
70,2003,Random
71,2004,Random
72,2006,Random
73,2007,Random
74,2017,Random
75,2021,Random
76,2058,Random
77,2099,Random
78,2104,Random
