k,coverage,strat
1,4,Random
2,7,Random
3,11,Random
4,14,Random
5,18,Random
6,26,Random
7,28,Random
8,30,Random
9,31,Random
10,34,Random
11,37,Random
12,39,Random
13,41,Random
14,42,Random
15,44,Random
16,46,Random
17,48,Random
18,51,Random
19,53,Random
20,55,Random
21,58,Random
22,60,Random
23,62,Random
24,64,Random
25,67,Random
26,69,Random
27,70,Random
28,73,Random
29,74,Random
30,76,Random
31,78,Random
32,81,Random
33,82,Random
34,83,Random
35,85,Random
36,86,Random
37,122,Random
38,123,Random
39,125,Random
40,128,Random
41,130,Random
42,135,Random
43,138,Random
44,140,Random
45,142,Random
46,144,Random
47,147,Random
48,149,Random
49,150,Random
50,159,Random
51,174,Random
52,175,Random
53,177,Random
54,179,Random
55,180,Random
56,181,Random
57,183,Random
58,184,Random
59,220,Random
60,221,Random
61,223,Random
62,226,Random
63,227,Random
64,228,Random
65,230,Random
66,365,Random
67,368,Random
68,369,Random
69,371,Random
70,389,Random
71,391,Random
72,392,Random
73,395,Random
74,396,Random
75,397,Random
76,398,Random
77,399,Random
78,401,Random
79,405,Random
80,406,Random
81,408,Random
82,410,Random
83,411,Random
84,412,Random
85,416,Random
86,435,Random
87,437,Random
88,438,Random
89,440,Random
90,442,Random
91,443,Random
92,445,Random
93,462,Random
94,464,Random
95,466,Random
96,467,Random
97,467,Random
98,468,Random
99,470,Random
100,471,Random
101,532,Random
102,537,Random
103,539,Random
104,541,Random
105,542,Random
106,543,Random
107,545,Random
108,546,Random
109,555,Random
110,556,Random
111,558,Random
112,572,Random
113,578,Random
114,580,Random
115,582,Random
116,592,Random
117,593,Random
118,594,Random
119,596,Random
120,600,Random
121,601,Random
122,603,Random
123,609,Random
124,650,Random
125,652,Random
126,654,Random
127,655,Random
128,657,Random
129,658,Random
130,659,Random
131,671,Random
132,672,Random
133,673,Random
134,675,Random
135,676,Random
136,678,Random
137,679,Random
138,681,Random
139,682,Random
140,703,Random
141,707,Random
142,718,Random
143,719,Random
144,721,Random
145,738,Random
146,740,Random
147,779,Random
148,789,Random
149,790,Random
150,791,Random
151,793,Random
152,795,Random
153,796,Random
154,797,Random
155,798,Random
156,799,Random
157,801,Random
158,802,Random
159,803,Random
160,804,Random
161,805,Random
162,807,Random
163,808,Random
164,809,Random
165,812,Random
166,812,Random
167,897,Random
168,903,Random
169,905,Random
170,906,Random
171,907,Random
172,908,Random
173,908,Random
174,909,Random
175,911,Random
176,913,Random
177,914,Random
178,917,Random
179,936,Random
180,937,Random
181,938,Random
182,939,Random
183,944,Random
184,944,Random
185,945,Random
186,948,Random
187,949,Random
188,951,Random
189,952,Random
190,953,Random
191,959,Random
192,960,Random
193,999,Random
194,1000,Random
195,1002,Random
196,1003,Random
197,1004,Random
198,1005,Random
199,1007,Random
200,1008,Random
201,1010,Random
202,1011,Random
203,1013,Random
204,1016,Random
205,1017,Random
206,1018,Random
207,1019,Random
208,1109,Random
209,1110,Random
210,1111,Random
211,1111,Random
212,1118,Random
213,1124,Random
214,1154,Random
215,1159,Random
216,1163,Random
217,1166,Random
218,1168,Random
219,1169,Random
220,1173,Random
221,1174,Random
222,1176,Random
223,1176,Random
224,1177,Random
225,1179,Random
226,1180,Random
227,1181,Random
228,1183,Random
229,1185,Random
