k,coverage,strat
1,92,Random
2,106,Random
3,129,Random
4,132,Random
5,170,Random
6,173,Random
7,180,Random
8,186,Random
9,222,Random
10,224,Random
11,234,Random
12,302,Random
13,307,Random
14,311,Random
15,313,Random
16,315,Random
17,317,Random
18,319,Random
19,321,Random
20,323,Random
21,328,Random
22,329,Random
23,339,Random
24,340,Random
25,407,Random
26,409,Random
27,512,Random
28,515,Random
29,517,Random
30,520,Random
31,523,Random
32,530,Random
33,536,Random
34,548,Random
35,550,Random
36,551,Random
37,560,Random
38,580,Random
39,583,Random
40,584,Random
41,592,Random
42,599,Random
43,603,Random
44,617,Random
45,618,Random
46,621,Random
47,884,Random
48,906,Random
49,910,Random
50,913,Random
51,923,Random
52,925,Random
53,940,Random
54,942,Random
55,945,Random
56,948,Random
57,950,Random
58,964,Random
59,968,Random
60,990,Random
61,991,Random
62,992,Random
63,993,Random
64,994,Random
65,998,Random
66,1406,Random
67,1408,Random
68,1412,Random
69,1414,Random
70,1417,Random
71,1422,Random
72,1424,Random
73,1432,Random
74,1434,Random
75,1435,Random
76,1437,Random
77,1447,Random
78,1449,Random
79,1474,Random
80,1491,Random
81,1493,Random
82,1530,Random
83,1539,Random
84,1540,Random
85,1541,Random
86,1624,Random
87,1628,Random
88,1631,Random
89,1673,Random
90,2281,Random
91,2283,Random
92,2284,Random
93,2300,Random
94,2403,Random
95,2405,Random
96,2408,Random
97,2411,Random
98,2412,Random
99,2413,Random
100,2416,Random
101,2421,Random
102,2423,Random
103,2426,Random
104,2427,Random
105,2427,Random
106,2515,Random
107,2556,Random
108,2557,Random
109,2925,Random
110,2928,Random
111,3132,Random
112,3134,Random
113,3154,Random
114,3157,Random
115,3159,Random
116,3165,Random
117,3166,Random
118,3168,Random
119,3184,Random
120,3186,Random
121,3187,Random
122,3190,Random
123,3192,Random
124,3210,Random
125,3211,Random
126,3222,Random
127,3226,Random
128,3256,Random
129,3258,Random
130,3259,Random
131,3261,Random
132,3262,Random
133,3264,Random
134,3276,Random
135,3278,Random
136,3280,Random
1,6,Random
2,10,Random
3,11,Random
4,424,Random
5,427,Random
6,438,Random
7,448,Random
8,451,Random
9,457,Random
10,540,Random
11,557,Random
12,572,Random
13,588,Random
14,591,Random
15,595,Random
16,597,Random
17,609,Random
18,614,Random
19,616,Random
20,619,Random
21,621,Random
22,622,Random
23,623,Random
24,625,Random
25,650,Random
26,653,Random
27,666,Random
28,673,Random
29,740,Random
30,742,Random
31,759,Random
32,761,Random
33,852,Random
34,857,Random
35,870,Random
36,872,Random
37,911,Random
38,913,Random
39,936,Random
40,938,Random
41,940,Random
42,962,Random
43,992,Random
44,994,Random
45,997,Random
46,998,Random
47,1087,Random
48,1089,Random
49,1092,Random
50,1112,Random
51,1113,Random
52,1119,Random
53,1157,Random
54,1160,Random
55,1161,Random
56,1183,Random
57,1186,Random
58,1227,Random
59,1228,Random
60,1232,Random
61,1234,Random
62,1235,Random
63,1237,Random
64,1241,Random
65,1505,Random
66,1710,Random
67,1813,Random
68,1821,Random
69,1823,Random
70,1824,Random
71,1826,Random
72,1828,Random
73,1828,Random
74,1829,Random
75,1831,Random
76,1832,Random
77,1834,Random
78,1836,Random
79,1838,Random
80,1840,Random
81,1843,Random
82,1848,Random
83,1851,Random
84,1860,Random
85,1894,Random
86,1897,Random
87,1899,Random
88,1909,Random
89,1920,Random
90,1921,Random
91,1923,Random
92,1931,Random
93,1950,Random
94,1952,Random
95,1954,Random
96,1959,Random
97,1973,Random
98,1983,Random
99,1984,Random
100,1986,Random
101,1988,Random
102,1990,Random
103,2004,Random
104,2005,Random
105,2009,Random
106,2018,Random
107,2021,Random
108,2022,Random
109,2044,Random
110,2146,Random
111,2148,Random
112,2153,Random
113,2155,Random
114,2157,Random
115,2159,Random
116,2164,Random
117,2166,Random
118,2534,Random
119,2536,Random
120,2538,Random
121,2539,Random
122,2542,Random
123,2544,Random
124,2547,Random
125,2588,Random
126,2592,Random
127,2594,Random
128,2596,Random
129,2597,Random
130,3205,Random
131,3271,Random
132,3273,Random
133,3275,Random
134,3277,Random
135,3278,Random
136,3279,Random
1,4,Random
2,26,Random
3,28,Random
4,636,Random
5,724,Random
6,728,Random
7,732,Random
8,734,Random
9,737,Random
10,742,Random
11,745,Random
12,748,Random
13,750,Random
14,759,Random
15,761,Random
16,766,Random
17,868,Random
18,870,Random
19,892,Random
20,895,Random
21,898,Random
22,900,Random
23,901,Random
24,938,Random
25,954,Random
26,961,Random
27,963,Random
28,964,Random
29,966,Random
30,968,Random
31,970,Random
32,972,Random
33,976,Random
34,978,Random
35,979,Random
36,981,Random
37,983,Random
38,986,Random
39,987,Random
40,991,Random
41,999,Random
42,1003,Random
43,1008,Random
44,1012,Random
45,1079,Random
46,1089,Random
47,1092,Random
48,1094,Random
49,1096,Random
50,1102,Random
51,1106,Random
52,1128,Random
53,1140,Random
54,1142,Random
55,1144,Random
56,1234,Random
57,1235,Random
58,1649,Random
59,1672,Random
60,1680,Random
61,1691,Random
62,1795,Random
63,1799,Random
64,1802,Random
65,1804,Random
66,1807,Random
67,1808,Random
68,1810,Random
69,1812,Random
70,1813,Random
71,1816,Random
72,1841,Random
73,1879,Random
74,1880,Random
75,1895,Random
76,1895,Random
77,1899,Random
78,1905,Random
79,1947,Random
80,2315,Random
81,2332,Random
82,2342,Random
83,2343,Random
84,2365,Random
85,2448,Random
86,2450,Random
87,2451,Random
88,2453,Random
89,2459,Random
90,2471,Random
91,2473,Random
92,2486,Random
93,2500,Random
94,2501,Random
95,2505,Random
96,2506,Random
97,2507,Random
98,2516,Random
99,2518,Random
100,2524,Random
101,2526,Random
102,2529,Random
103,2532,Random
104,2535,Random
105,2601,Random
106,2631,Random
107,2632,Random
108,2633,Random
109,2635,Random
110,2636,Random
111,2639,Random
112,2644,Random
113,2678,Random
114,2679,Random
115,2681,Random
116,2682,Random
117,2684,Random
118,2687,Random
119,2728,Random
120,2739,Random
121,2749,Random
122,2750,Random
123,2752,Random
124,2770,Random
125,2786,Random
126,2788,Random
127,2790,Random
128,2792,Random
129,2794,Random
130,2999,Random
131,3001,Random
132,3265,Random
133,3270,Random
134,3274,Random
135,3275,Random
136,3277,Random
1,4,Random
2,7,Random
3,11,Random
4,12,Random
5,26,Random
6,29,Random
