k,coverage,strat
1,17,Random
2,20,Random
3,22,Random
4,26,Random
5,29,Random
6,397,Random
7,399,Random
8,401,Random
9,811,Random
10,1076,Random
11,1079,Random
12,1080,Random
13,1169,Random
14,1175,Random
15,1181,Random
16,1183,Random
17,1267,Random
18,1334,Random
19,1336,Random
20,1360,Random
21,1379,Random
22,1404,Random
23,1407,Random
24,1441,Random
25,1443,Random
26,1448,Random
27,1452,Random
28,1454,Random
29,1457,Random
30,1459,Random
31,1461,Random
32,1462,Random
33,1464,Random
34,1466,Random
35,1488,Random
36,1489,Random
37,1519,Random
38,1521,Random
39,1531,Random
40,1544,Random
41,1646,Random
42,1647,Random
43,1650,Random
44,1652,Random
45,1653,Random
46,2263,Random
47,2367,Random
48,2369,Random
49,2383,Random
50,2588,Random
51,2595,Random
52,2617,Random
53,2618,Random
54,2619,Random
55,2621,Random
56,2626,Random
57,2627,Random
58,2644,Random
59,2683,Random
60,2686,Random
61,2702,Random
62,2705,Random
63,2709,Random
64,2709,Random
65,2711,Random
66,2712,Random
67,2714,Random
68,2715,Random
69,2727,Random
70,2731,Random
71,2733,Random
72,2734,Random
73,2738,Random
74,2742,Random
75,2744,Random
76,2746,Random
77,2787,Random
78,2787,Random
79,2854,Random
80,2863,Random
81,2878,Random
82,2888,Random
83,2897,Random
84,2900,Random
85,2904,Random
86,2905,Random
87,2907,Random
88,2909,Random
89,2911,Random
90,2917,Random
91,2939,Random
92,2942,Random
93,2944,Random
94,2953,Random
95,2956,Random
96,2967,Random
97,2969,Random
98,2971,Random
99,2985,Random
100,2997,Random
101,3000,Random
102,3003,Random
103,3004,Random
104,3009,Random
105,3017,Random
106,3018,Random
107,3021,Random
108,3058,Random
109,3060,Random
110,3068,Random
111,3070,Random
112,3073,Random
113,3078,Random
114,3079,Random
115,3081,Random
116,3083,Random
117,3084,Random
118,3125,Random
119,3127,Random
120,3141,Random
121,3142,Random
122,3147,Random
123,3149,Random
124,3152,Random
125,3154,Random
126,3156,Random
127,3157,Random
128,3158,Random
129,3162,Random
130,3165,Random
131,3167,Random
132,3171,Random
133,3173,Random
134,3263,Random
135,3264,Random
136,3266,Random
1,4,Random
2,6,Random
3,9,Random
4,16,Random
5,20,Random
6,23,Random
7,24,Random
8,47,Random
9,90,Random
10,92,Random
11,94,Random
12,97,Random
13,100,Random
14,103,Random
15,107,Random
16,117,Random
17,122,Random
18,124,Random
19,127,Random
20,141,Random
21,143,Random
22,146,Random
23,413,Random
24,455,Random
25,459,Random
26,473,Random
27,482,Random
28,484,Random
29,485,Random
30,497,Random
31,503,Random
32,518,Random
33,520,Random
34,522,Random
35,524,Random
36,540,Random
37,544,Random
38,554,Random
39,557,Random
40,564,Random
41,667,Random
42,670,Random
