k,coverage,strat
1,5,Random
2,17,Random
3,20,Random
4,37,Random
5,39,Random
6,46,Random
7,81,Random
8,83,Random
9,85,Random
10,87,Random
11,89,Random
12,91,Random
13,97,Random
14,99,Random
15,101,Random
16,102,Random
17,105,Random
18,110,Random
19,111,Random
20,114,Random
21,116,Random
22,123,Random
23,160,Random
24,163,Random
25,166,Random
26,169,Random
27,172,Random
28,174,Random
29,176,Random
30,183,Random
31,184,Random
32,186,Random
33,192,Random
34,194,Random
35,196,Random
36,198,Random
37,201,Random
38,202,Random
39,205,Random
40,207,Random
41,210,Random
42,271,Random
43,285,Random
44,287,Random
45,289,Random
46,290,Random
47,292,Random
48,295,Random
49,297,Random
50,298,Random
51,323,Random
52,341,Random
53,343,Random
54,352,Random
55,355,Random
56,358,Random
57,360,Random
58,362,Random
59,363,Random
60,364,Random
61,366,Random
62,367,Random
63,371,Random
64,372,Random
65,374,Random
66,376,Random
67,378,Random
68,379,Random
69,380,Random
70,469,Random
71,473,Random
72,477,Random
73,479,Random
74,482,Random
75,484,Random
76,486,Random
77,489,Random
78,490,Random
79,493,Random
80,502,Random
81,504,Random
82,507,Random
83,509,Random
84,515,Random
85,516,Random
86,519,Random
87,520,Random
88,522,Random
89,524,Random
90,528,Random
91,531,Random
92,532,Random
93,533,Random
94,533,Random
95,535,Random
96,543,Random
97,562,Random
98,564,Random
99,565,Random
100,566,Random
101,567,Random
102,569,Random
103,572,Random
104,573,Random
105,574,Random
106,576,Random
107,577,Random
108,579,Random
109,580,Random
110,581,Random
111,582,Random
112,583,Random
113,586,Random
114,591,Random
115,593,Random
116,603,Random
117,604,Random
118,606,Random
119,607,Random
120,609,Random
121,610,Random
122,614,Random
123,615,Random
124,620,Random
125,622,Random
126,623,Random
127,625,Random
128,626,Random
129,627,Random
130,635,Random
131,635,Random
132,637,Random
133,638,Random
134,669,Random
135,671,Random
136,672,Random
137,677,Random
138,679,Random
139,687,Random
140,688,Random
141,691,Random
142,692,Random
143,731,Random
144,768,Random
145,769,Random
146,772,Random
147,774,Random
148,776,Random
149,777,Random
150,778,Random
151,780,Random
152,781,Random
153,782,Random
154,823,Random
155,825,Random
156,825,Random
157,826,Random
158,827,Random
159,828,Random
160,830,Random
161,832,Random
162,836,Random
163,836,Random
164,838,Random
165,840,Random
166,843,Random
167,844,Random
168,853,Random
169,855,Random
170,857,Random
171,858,Random
172,860,Random
173,861,Random
174,862,Random
175,862,Random
176,862,Random
177,998,Random
178,1000,Random
179,1002,Random
180,1003,Random
181,1004,Random
182,1006,Random
183,1007,Random
184,1010,Random
185,1010,Random
186,1010,Random
187,1017,Random
188,1018,Random
189,1019,Random
190,1019,Random
191,1021,Random
192,1023,Random
193,1024,Random
194,1028,Random
195,1031,Random
196,1032,Random
197,1034,Random
198,1035,Random
199,1039,Random
200,1041,Random
201,1043,Random
202,1045,Random
203,1046,Random
204,1055,Random
205,1055,Random
206,1057,Random
207,1057,Random
208,1060,Random
209,1146,Random
210,1149,Random
211,1161,Random
212,1162,Random
213,1164,Random
214,1166,Random
215,1167,Random
216,1169,Random
217,1170,Random
218,1171,Random
219,1172,Random
220,1174,Random
221,1191,Random
222,1192,Random
223,1193,Random
224,1193,Random
225,1195,Random
226,1196,Random
227,1202,Random
228,1203,Random
229,1204,Random
230,1205,Random
231,1206,Random
232,1207,Random
233,1208,Random
234,1209,Random
235,1213,Random
236,1223,Random
237,1240,Random
238,1241,Random
239,1242,Random
240,1243,Random
241,1244,Random
242,1248,Random
243,1250,Random
244,1252,Random
245,1253,Random
246,1255,Random
1,5,Random
2,7,Random
3,10,Random
4,13,Random
5,30,Random
6,33,Random
7,35,Random
8,37,Random
9,40,Random
10,42,Random
11,43,Random
12,47,Random
13,48,Random
14,50,Random
15,82,Random
16,86,Random
17,92,Random
18,104,Random
19,105,Random
20,242,Random
21,244,Random
22,248,Random
23,250,Random
24,252,Random
25,254,Random
26,257,Random
27,259,Random
28,262,Random
29,265,Random
30,266,Random
31,268,Random
32,270,Random
33,271,Random
34,283,Random
35,285,Random
36,287,Random
37,293,Random
38,295,Random
39,306,Random
40,308,Random
41,314,Random
42,376,Random
43,415,Random
44,416,Random
45,418,Random
46,420,Random
47,422,Random
48,426,Random
49,427,Random
50,429,Random
51,432,Random
52,435,Random
