asn,count
20940,17263
16509,10300
15169,7524
16625,5226
14618,4236
54113,2245
1299,1579
36408,922
2914,731
6762,714
4766,626
54994,622
13335,575
15224,546
3356,527
719,493
4837,490
32934,454
38895,445
4134,424
3257,412
6327,394
3292,370
37963,368
15133,347
8781,328
1273,304
3303,279
36351,246
5089,242
9299,235
,226
2856,220
20485,210
1257,208
9002,192
3786,188
7016,170
3320,168
812,166
4657,166
8426,165
12709,163
553,161
23724,160
42910,156
36089,148
47605,146
45102,145
9498,145
33874,144
58543,142
8075,141
8559,131
22822,130
31334,125
701,122
4637,122
6453,121
40300,116
3269,116
2860,113
9269,113
16276,108
24940,107
9158,105
5408,105
5432,105
4773,103
3741,103
13030,102
1853,102
50304,102
12956,100
36040,98
23655,94
15576,93
41937,87
8359,87
15516,86
18200,84
24429,84
766,83
577,82
4808,77
7642,76
197288,75
31042,75
12874,74
19551,73
28917,72
1668,69
38107,69
43097,69
4812,68
25751,66
13238,66
21042,64
63541,60
24751,59
12620,59
6939,58
11643,57
134764,56
32098,55
10084,54
9808,54
17470,53
37054,53
16347,53
3462,53
9050,52
43557,52
3491,52
30722,52
8866,51
13272,51
36994,50
54312,50
12389,49
8672,49
7843,48
47764,46
3605,46
21219,45
16086,44
26769,44
29990,43
38040,42
23650,42
174,42
3216,42
28716,41
33047,40
5645,40
60068,39
54104,38
12876,38
12353,38
31117,37
2852,37
12334,37
559,37
12301,37
34779,37
57187,36
51225,36
7162,36
29695,35
31027,35
24319,35
20764,34
39737,34
9329,33
4725,33
36236,33
1267,33
29789,33
9049,33
5511,33
10143,32
513,32
42656,32
4788,31
23752,31
31621,31
13249,30
7473,30
26667,30
11419,29
16477,29
60781,29
2828,28
11845,28
27281,27
30419,27
13110,27
13414,27
55944,27
23576,26
198622,26
7743,26
38283,25
30633,24
57363,24
4755,24
13004,24
53387,24
24211,23
9764,23
11054,22
262195,22
209,22
17547,22
132203,22
40824,22
20446,21
62713,21
9318,21
58466,21
44395,21
63949,20
15958,20
33659,20
3561,20
6461,20
8764,19
26101,19
50952,19
44788,19
22364,19
4847,19
29791,19
19750,18
48737,18
41682,18
39572,18
57344,18
12406,17
30844,17
29066,17
24638,17
8891,17
31133,17
53563,16
135391,16
55569,16
7203,16
55355,16
37183,15
3549,15
10913,15
23352,15
58539,14
12827,14
59253,14
4835,14
30081,14
24572,13
4816,13
63835,13
36646,13
10310,13
2635,13
14907,13
9924,13
9925,13
58540,13
23816,13
12990,12
23820,12
9534,12
25369,12
25462,12
9370,12
28604,12
50113,12
14259,12
56173,11
13768,11
134763,11
36647,11
23947,11
58542,11
45671,11
7545,11
2614,10
34010,10
10204,10
30361,10
9583,10
35415,10
13499,10
49063,10
16798,10
8560,10
852,10
201011,10
38001,10
61102,9
47541,9
16244,9
36062,9
58593,9
46652,9
18978,9
3313,9
62567,9
24600,9
23620,9
6336,9
58552,8
49763,8
10782,8
24284,8
14361,8
50144,8
2510,8
196750,8
27257,8
8218,8
52610,8
43037,8
7979,8
8137,8
201081,8
2818,8
21069,7
13424,7
1757,7
714,7
56046,7
58563,7
45396,7
11878,7
24961,7
17707,7
133530,7
38525,7
9394,7
132164,7
38622,7
18365,7
1422,7
45028,6
3255,6
30282,6
47823,6
36029,6
49367,6
45062,6
4611,6
10837,6
33597,6
46589,6
49453,6
8339,6
42481,6
10474,6
8928,6
17374,6
7105,6
7532,6
7922,6
24506,6
10361,6
18182,6
36007,6
133165,6
22773,6
14340,6
47447,6
32489,6
35662,6
197595,6
7643,6
12978,6
7160,6
13789,6
14829,5
24376,5
19024,5
10794,5
7415,5
558,5
12322,5
56040,5
31549,5
53340,5
6623,5
55967,5
55960,5
4713,5
29802,5
27357,5
4609,5
43350,5
10229,5
22414,5
8068,5
29076,5
37100,5
24444,5
7029,5
17816,5
58461,5
30083,5
134420,5
48684,4
203220,4
55225,4
47381,4
393406,4
14780,4
20552,4
39134,4
24246,4
1221,4
8491,4
41095,4
36692,4
58497,4
26496,4
17621,4
56041,4
32780,4
17974,4
7497,4
38099,4
27630,4
9752,4
35994,4
61157,4
44327,4
42473,4
43821,4
14776,4
14777,4
15635,4
43407,4
29302,4
33657,4
44066,4
38631,4
2516,4
38634,4
19907,4
4694,4
19437,4
47105,4
49505,4
58541,4
9304,4
50974,4
12182,4
32748,4
13345,4
9070,3
39107,3
55992,3
25532,3
4196,3
62026,3
135598,3
9416,3
58856,3
8342,3
28663,3
40067,3
133774,3
29401,3
43391,3
39392,3
56396,3
25473,3
63838,3
197205,3
44932,3
10934,3
5693,3
17623,3
393915,3
59045,3
62806,3
8182,3
9052,3
52280,3
45899,3
50245,3
38365,3
52148,3
9308,3
9919,3
28122,3
15830,3
29944,3
25786,3
17457,3
9505,3
42320,3
13791,3
60668,3
46562,3
51773,3
702,3
17785,3
2497,3
13301,3
57043,3
54540,3
33419,3
3215,3
29951,3
19994,3
17451,3
201979,3
41690,3
4809,3
62769,3
61107,2
4787,2
62787,2
38043,2
41552,2
17651,2
47894,2
39369,2
29017,2
8515,2
5779,2
18106,2
41902,2
35470,2
133775,2
57976,2
132510,2
25019,2
14492,2
62240,2
64245,2
23059,2
29854,2
24247,2
17430,2
134238,2
39270,2
395162,2
792,2
26316,2
18888,2
50214,2
4264,2
3595,2
56910,2
5662,2
394561,2
4538,2
34587,2
6364,2
13213,2
203070,2
134706,2
196645,2
23880,2
26464,2
49819,2
39775,2
53580,2
17709,2
49030,2
17408,2
25184,2
28573,2
41881,2
26008,2
7726,2
55081,2
199524,2
16552,2
62693,2
39995,2
3614,2
17638,2
36229,2
18293,2
11742,2
10912,2
393903,2
15497,2
58116,2
8400,2
12217,2
35220,2
29262,2
49800,2
3223,2
22075,2
62638,2
57129,2
55825,2
40787,2
14743,2
14745,2
14744,2
394344,2
49024,2
10026,2
33739,2
12516,2
204000,2
55517,2
28753,2
63585,2
17819,2
132134,2
20860,2
14413,2
59028,2
43650,2
7941,2
42775,2
38345,2
197143,1
35237,1
26941,1
41930,1
4780,1
9905,1
32526,1
395619,1
30217,1
24151,1
10967,1
32787,1
59050,1
4651,1
8749,1
134762,1
22556,1
135448,1
13902,1
5774,1
200097,1
4818,1
36444,1
12084,1
1249,1
14332,1
31445,1
2611,1
197695,1
18450,1
22878,1
197328,1
23393,1
198063,1
6619,1
34594,1
62710,1
12196,1
11403,1
42014,1
24768,1
53334,1
60164,1
47268,1
24931,1
17184,1
10922,1
47043,1
63199,1
48200,1
393361,1
47328,1
30148,1
7381,1
40428,1
199267,1
18568,1
55106,1
32400,1
15626,1
32097,1
133478,1
56005,1
12269,1
25535,1
17233,1
4622,1
43996,1
12008,1
17436,1
4269,1
17439,1
15557,1
27647,1
63691,1
39912,1
46786,1
45090,1
52007,1
8470,1
132591,1
41079,1
19324,1
38731,1
51718,1
395224,1
32286,1
21880,1
62041,1
15395,1
132525,1
31590,1
15994,1
45596,1
9989,1
17012,1
63408,1
133752,1
19795,1
23467,1
26415,1
9306,1
21735,1
26558,1
20597,1
8966,1
22780,1
58277,1
38661,1
19679,1
24218,1
17964,1
27325,1
12240,1
8100,1
200161,1
38244,1
42244,1
26120,1
2514,1
17897,1
26615,1
42682,1
9811,1
199246,1
56464,1
45815,1
20473,1
40034,1
262287,1
36678,1
59456,1
32632,1
132208,1
8220,1
15083,1
52016,1
24547,1
15694,1
29049,1
26244,1
36856,1
5602,1
9993,1
38372,1
36459,1
7738,1
30781,1
48858,1
62292,1
55720,1
53635,1
7296,1
55418,1
14380,1
63210,1
16234,1
39020,1
201012,1
19769,1
32081,1
9121,1
33517,1
30860,1
7552,1
54005,1
46179,1
10230,1
52041,1
32844,1
14782,1
17174,1
21245,1
199484,1
51540,1
62955,1
