pref,count
172.217.17.0,187
216.58.214.0,187
216.58.201.0,187
172.217.18.0,187
216.58.211.0,187
216.58.209.0,186
216.58.204.0,186
216.58.213.0,184
216.58.212.0,183
216.58.192.0,178
172.217.22.0,177
172.217.16.0,177
216.58.198.0,176
216.58.208.0,173
172.217.21.0,172
216.58.199.0,171
172.217.25.0,171
172.217.23.0,168
172.217.19.0,165
216.58.210.0,162
129.143.66.0,161
216.58.197.0,156
0.0.0.0,151
212.56.132.0,147
159.20.26.0,144
172.217.20.0,139
92.123.72.0,138
172.217.0.0,133
216.58.205.0,133
216.58.194.0,132
82.149.108.0,131
216.58.219.0,125
74.125.232.0,125
2.21.89.0,124
74.125.200.0,123
54.240.166.0,118
54.230.96.0,116
54.239.168.0,114
216.58.216.0,112
54.230.230.0,112
54.192.27.0,112
2.16.4.0,112
54.192.217.0,112
23.10.249.0,112
52.85.89.0,111
52.222.171.0,111
54.240.184.0,111
52.222.157.0,111
54.192.11.0,111
54.230.197.0,110
54.192.7.0,110
52.85.184.0,110
172.217.4.0,107
212.247.12.0,106
193.229.109.0,105
173.194.44.0,104
104.86.110.0,104
172.217.27.0,103
54.192.36.0,102
134.90.151.0,101
212.247.8.0,101
88.221.211.0,101
2.21.74.0,100
23.14.84.0,99
77.214.54.0,97
216.58.223.0,96
213.123.242.0,95
202.124.116.0,94
54.230.79.0,94
217.146.165.0,93
216.58.200.0,93
173.194.32.0,92
172.217.1.0,91
54.192.185.0,91
216.58.203.0,90
188.43.76.0,89
213.242.89.0,89
52.84.24.0,89
216.58.217.0,87
109.122.97.0,87
62.252.168.0,85
62.61.132.0,85
52.84.127.0,84
216.58.218.0,83
87.236.156.0,83
130.206.192.0,83
54.230.86.0,82
54.192.44.0,82
52.84.207.0,81
87.245.198.0,81
173.194.122.0,81
172.217.3.0,79
23.63.98.0,78
2.17.212.0,77
54.192.83.0,77
88.221.112.0,76
2.228.46.0,74
184.84.243.0,74
5.22.191.0,73
2.17.249.0,72
54.230.159.0,72
213.123.252.0,72
208.111.59.0,71
2.16.117.0,70
172.217.2.0,70
54.230.11.0,70
92.122.89.0,70
24.244.19.0,70
151.101.12.0,70
88.221.254.0,69
